driver_id,phase,dow_name,distance_km,speeding_sum,harsh_brake_sum,rapid_accel_sum,swerve_sum,total_events_sum,rate_events_per_km
04618512580e479ca2447d2d6e3e5a01,post,Friday,5.681102755374718,0,3,2,1,6,1.0561329830416433
04618512580e479ca2447d2d6e3e5a01,post,Saturday,19.283855301209684,0,12,9,4,25,1.2964212606610743
04618512580e479ca2447d2d6e3e5a01,post,Thursday,3.725960227029789,0,2,0,0,2,0.5367743824775965
04618512580e479ca2447d2d6e3e5a01,post,Wednesday,10.362763563208786,0,5,3,2,10,0.9649935501281999
04618512580e479ca2447d2d6e3e5a01,pre,Monday,5.770869392687205,0,4,2,2,8,1.386272926248778
04618512580e479ca2447d2d6e3e5a01,pre,Saturday,8.835770198170572,0,8,8,3,19,2.1503501759171955
04618512580e479ca2447d2d6e3e5a01,pre,Sunday,2.513449896341827,0,3,3,0,6,2.3871571932794975
04618512580e479ca2447d2d6e3e5a01,pre,Thursday,11.268487395618013,0,8,6,7,21,1.8636041611198224
04618512580e479ca2447d2d6e3e5a01,pre,Tuesday,3.888325112905848,0,5,4,2,11,2.8289815487623695
04618512580e479ca2447d2d6e3e5a01,pre,Wednesday,7.47258816687515,0,9,3,1,13,1.7396917519992643
06fc09066ff54ee0b0298ef00f80d42d,post,Friday,3.852142070871915,0,1,2,0,3,0.778787475852614
06fc09066ff54ee0b0298ef00f80d42d,post,Saturday,5.247787846215746,0,4,0,0,4,0.7622259354261923
06fc09066ff54ee0b0298ef00f80d42d,post,Wednesday,3.5137739497493103,0,0,2,2,4,1.1383771572116583
06fc09066ff54ee0b0298ef00f80d42d,pre,Friday,7.589812511216371,0,5,3,1,9,1.1858000427151036
06fc09066ff54ee0b0298ef00f80d42d,pre,Monday,18.406984660719555,0,12,11,6,29,1.575488899161518
06fc09066ff54ee0b0298ef00f80d42d,pre,Saturday,2.687062477521438,0,1,0,2,3,1.1164608285428546
06fc09066ff54ee0b0298ef00f80d42d,pre,Thursday,8.012861940543868,0,6,4,3,13,1.622391611943539
06fc09066ff54ee0b0298ef00f80d42d,pre,Wednesday,5.178653877708627,0,3,3,2,8,1.5448029910698955
0f67d8169e91426a88b8a32e5eb5dce0,post,Friday,6.459530277182829,0,3,1,1,5,0.7740500911748388
0f67d8169e91426a88b8a32e5eb5dce0,post,Monday,5.523458862424418,0,1,4,3,8,1.4483678070680066
0f67d8169e91426a88b8a32e5eb5dce0,post,Saturday,3.087166290761443,0,1,0,0,1,0.32392165041208454
0f67d8169e91426a88b8a32e5eb5dce0,post,Sunday,6.013897682975177,0,1,0,3,4,0.6651260481739909
0f67d8169e91426a88b8a32e5eb5dce0,post,Tuesday,2.444285006730786,0,2,2,2,6,2.454705561535542
0f67d8169e91426a88b8a32e5eb5dce0,post,Wednesday,8.400309089142784,0,5,1,1,7,0.8333026708561649
0f67d8169e91426a88b8a32e5eb5dce0,pre,Sunday,9.265637569185927,0,2,2,8,12,1.295107855276743
0f67d8169e91426a88b8a32e5eb5dce0,pre,Thursday,2.8887916131826232,0,1,3,3,7,2.4231585165424927
0f67d8169e91426a88b8a32e5eb5dce0,pre,Tuesday,3.0964372144515044,0,0,0,0,0,0.0
0f67d8169e91426a88b8a32e5eb5dce0,pre,Wednesday,3.87448765022603,0,1,1,1,3,0.7742959252496225
17dec2934ccd42d7b02d4264290dec04,post,Friday,9.426814992706092,0,6,5,3,14,1.485125146810706
